gene	SRR5575407	SRR5575408	SRR5575409	SRR5575410	SRR5575413	SRR5575598	SRR5575599	SRR5575605	SRR5575606	SRR7716235	SRR7716244	SRR7716245	SRR7716246	SRR7716247
SRR5575407_k141_107230_1	126.0	6.0	137.0	135.0	0.0	48.0	45.0	17.0	8.0	37.0	53.0	331.0	33.0	29.0
SRR5575407_k141_107230_11	185.0	4.0	124.0	176.0	0.0	57.0	54.0	8.0	10.0	50.0	79.0	387.0	37.0	61.0
SRR5575407_k141_107230_2	191.0	2.0	149.0	159.0	0.0	72.0	58.0	22.0	10.0	31.0	41.0	395.0	34.0	48.0
SRR5575407_k141_107230_3	105.0	4.0	79.0	79.0	0.0	30.0	30.0	0.0	10.0	24.0	0.0	222.0	2.0	33.0
SRR5575407_k141_107230_5	154.0	2.0	5.0	129.0	0.0	39.0	26.0	0.0	9.0	32.0	0.0	7.0	0.0	48.0
SRR5575407_k141_107230_6	81.0	0.0	8.0	61.0	0.0	7.0	23.0	0.0	4.0	14.0	0.0	46.0	0.0	30.0
SRR5575407_k141_107230_7	169.0	0.0	144.0	163.0	0.0	61.0	67.0	18.0	10.0	31.0	80.0	424.0	33.0	67.0
SRR5575407_k141_107230_9	238.0	4.0	215.0	178.0	0.0	83.0	61.0	8.0	10.0	72.0	83.0	616.0	55.0	56.0
SRR5575407_k141_107232_1	8.0	0.0	6.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	2.0	0.0	7.0	0.0
SRR5575407_k141_107236_1	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5575407_k141_107240_1	18.0	2.0	0.0	0.0	0.0	0.0	4.0	3.0	0.0	0.0	4.0	4.0	7.0	0.0
SRR5575407_k141_107241_3	187.0	0.0	27.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0
SRR5575407_k141_107244_1	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5575407_k141_107244_2	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	2.0	0.0
SRR5575407_k141_107247_2	46.0	34.0	3.0	4.0	2.0	68.0	0.0	6.0	2.0	98.0	48.0	292.0	15.0	0.0
SRR5575407_k141_107250_1	16.0	0.0	4.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
SRR5575407_k141_107250_2	32.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
